LOG_NODE,COMMIT_ALG,READ_PERC,PERC_REMOTE,ZIPF_THETA,NUM_SERVER_THREADS,CC_ALG,prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
false,ONE_PC,0.5,0.05,0,2,WAIT_DIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.05,0,2,WAIT_DIE,30859.8,0,48,0.0835676,222.416,0.044233,7.3424e-05,0,0,0,0.0752554,0,0,46,0,43.9969,0.000164117,0,0,0,0,0,25531.4,1.12665,0.000976802,74.7463,0,0,0,0,1.4545,0,0.000151089,3.9115e-05,0,0,0.0341506,0,0,0,0,0,0,0,0,2.09106,193.536,0.00109725,0,0.0753139,0.0835676,0,0,0.000454572,0.0207317,0,0,0,6,1.95576,0,25,0,0,0,0,0,0,0,21,0,0.0103226,0,0,0,31291.3,0,26603.3,0,0,0,0,0,0,0.0208684,9.4433e-05,0,0,0,0,19,46,0,0,0,0,1.02768,0
false,ONE_PC,0.5,0.05,0,4,WAIT_DIE,34895.3,0,144,0.10058,186.211,0.0468078,0.000144604,0,0,0,0.0752931,0,0,88,0,83.6239,0.000225502,0,0,0,0,0,22957.2,1.01087,0.0016716,96.9944,0,0,0,0,1.90762,0,0.000201146,6.173e-05,0,0,0.0625403,0,0,0,0,0,0,0,0,4.20932,143.684,0.00171562,0,0.0798586,0.10058,0,0,0.000863972,0.0377866,0,0,0,18,3.91831,0,48,0,0,0,0,0,0,0,37,0,0.0155034,0,0,0,35687.7,0,31316.2,0,0,0,0,0,0,0.045264,0.000178687,0,0,0,0,33,88,0,0,0,0,1.03506,0
false,ONE_PC,0.5,0.05,0,8,WAIT_DIE,33690.2,0,125,0.10866,227.865,0.0487937,0.000302848,0,0,0,0.0754207,0,0,167,0,157.599,0.000854633,0,0,0,0,0,29517.2,1.17407,0.00319972,55.6404,0,0,0,0,1.71806,0,0.000802625,0.000246495,0,0,0.106643,0,0,0,0,0,0,0,0,8.47722,158.136,0.00475212,0,0.0891393,0.125293,0,0,0.00167079,0.07242,0,0,0,29,7.83527,0,103,0,0,0,0,0,0,0,65,0,0.033037,0,0,0,34451.7,0,28876.8,0,0,0,0,0,0,0.103218,0.000487478,0,0,0,0,73,167,0,0,0,0,1.04275,0
false,ONE_PC,0.5,0.05,0,16,WAIT_DIE,35714,0,18,0.120821,262.547,0.0499499,0.000563864,0,0,0,0.0801208,0,0,331,0,310.008,0.000925429,0,0,0,0,0,28870.8,1.12194,0.00577756,44.9814,0,0,0,0,2.01575,0,0.000829947,0.000288309,0,0,0.165022,0,0,0,0,0,0,0,0,17.0834,138.679,0.00447136,0,0.0836643,0.121147,0,0,0.00325558,0.150071,0,0,0,56,15.679,0,196,0,0,0,0,0,0,0,139,0,0.0589573,0,0,0,36214.1,0,30644.3,0,0,0,0,0,0,0.227881,0.000778485,0,0,0,0,136,331,0,0,0,0,1.05058,0
false,ONE_PC,0.5,0.05,0,32,WAIT_DIE,39156.1,0,228,0.106127,329.818,0.0511005,0.000988968,0,0,0,0.0782871,0,0,644,0,594.723,0.00194092,0,0,0,0,0,27039.6,1.44784,0.0109274,51.706,0,0,0,0,2.22987,0,0.00174697,0.00064744,0,0,0.226397,0,0,0,0,0,0,0,0,34.6514,171.253,0.00918387,0,0.0943394,0.106251,0,0,0.00621894,0.340617,0,0,0,121,31.3395,0,357,0,0,0,0,0,0,0,288,0,0.138249,0,0,0,37383.2,0,34071.1,0,0,0,0,0,0,0.536423,0.00232482,0,0,0,0,235,644,0,0,0,0,1.06123,0
false,TWO_PC,0.5,0.05,0,2,WAIT_DIE,33196.9,0,0,0.111794,261.576,0.0710416,3.6232e-05,0,0,0,0.110798,0,0,29,0,28.1479,7.3266e-05,0,0,0,0,0,20170.7,27680.9,0.00070589,129.108,0,0,0,0,2.24288,0,6.5938e-05,2.5978e-05,0,0,0.0340992,0,0,0,0,0,0,0,0,2.06055,238.482,0.000792173,0,0.111082,0.111794,0,0,0.000267768,0.015877,0,0,0,4,1.95801,0,13,0,0,0,0,0,0,0,16,0,0.00802311,0,0,0,57128.8,0,29448.7,0,0,0,0,0,0,0.0156998,7.9689e-05,0,0,0,0,9,29,0,0,0,0,1.01264,0
false,TWO_PC,0.5,0.05,0,4,WAIT_DIE,38203.6,0,16,0.151895,224.696,0.0787669,7.066e-05,0,0,0,0.117578,0,0,53,0,49.2607,0.000190329,0,0,0,0,0,18500.2,30899,0.00117426,77.0211,0,0,0,0,1.61074,0,0.000174766,4.318e-05,0,0,0.0647134,0,0,0,0,0,0,0,0,4.30363,159.086,0.00118532,0,0.146733,0.151895,0,0,0.0005122,0.0489356,0,0,0,10,3.92323,0,26,0,0,0,0,0,0,0,28,0,0.0103948,0,0,0,65251.7,0,34353.3,0,0,0,0,0,0,0.0600824,9.9532e-05,0,0,0,0,15,53,0,0,0,0,1.05875,0
false,TWO_PC,0.5,0.05,0,8,WAIT_DIE,35167,0,0,0.142016,243.147,0.0776194,0.00016992,0,0,0,0.109611,0,0,108,0,97.4986,0.000362123,0,0,0,0,0,23529.4,29780.3,0.00179015,114.088,0,0,0,0,1.87934,0,0.000334071,7.5711e-05,0,0,0.113467,0,0,0,0,0,0,0,0,8.86166,217.423,0.00180931,0,0.110061,0.167092,0,0,0.00106657,0.11574,0,0,0,18,7.8387,0,57,0,0,0,0,0,0,0,48,0,0.0293586,0,0,0,62704.5,0,32924.9,0,0,0,0,0,0,0.159083,0.000214015,0,0,0,0,42,108,0,0,0,0,1.09174,0
false,TWO_PC,0.5,0.05,0,16,WAIT_DIE,38836.1,0,15,0.17588,213.171,0.0832407,0.000313056,0,0,0,0.133345,0,0,198,0,185.15,0.000842189,0,0,0,0,0,26279,31075.2,0.00369194,44.334,0,0,0,0,2.24673,0,0.000785067,0.000157729,0,0,0.166954,0,0,0,0,0,0,0,0,17.1105,143.181,0.0033741,0,0.155422,0.184607,0,0,0.00195029,0.149886,0,0,0,27,15.7003,0,113,0,0,0,0,0,0,0,92,0,0.0376509,0,0,0,66503.5,0,35429.2,0,0,0,0,0,0,0.224782,0.000608063,0,0,0,0,79,198,0,0,0,0,1.05457,0
false,TWO_PC,0.5,0.05,0,32,WAIT_DIE,36365.3,0,12,0.149835,229.101,0.0795814,0.000641456,0,0,0,0.118028,0,0,417,0,377.721,0.00160067,0,0,0,0,0,28074.5,29225,0.00599247,37.1125,0,0,0,0,2.16092,0,0.00148137,0.000438427,0,0,0.235949,0,0,0,0,0,0,0,0,35.3276,115.013,0.00604141,0,0.125398,0.14995,0,0,0.0040444,0.414283,0,0,0,76,31.4137,0,230,0,0,0,0,0,0,0,185,0,0.0658012,0,0,0,60690.1,0,31466.1,0,0,0,0,0,0,0.628332,0.00120117,0,0,0,0,156,417,0,0,0,0,1.08852,0
false,ONE_PC,0.5,0.05,0,2,WAIT_DIE,27207.8,0,158,0.0764983,237.743,0.0394035,8.1144e-05,0,0,0,0.0741723,0,0,53,0,49.5593,0.000170787,0,0,0,0,0,23769.4,0.880849,0.00120414,97.1404,0,0,0,0,1.41129,0,0.000157153,3.83e-05,0,0,0.0352752,0,0,0,0,0,0,0,0,2.13885,216.019,0.00138371,0,0.0752274,0.0764983,0,0,0.000524856,0.0287481,0,0,0,7,1.95289,0,28,0,0,0,0,0,0,0,24,0,0.0132795,0,0,0,29973.8,0,25208.5,0,0,0,0,0,0,0.0276972,0.000108074,0,0,0,0,22,53,0,0,0,0,1.0508,0
false,ONE_PC,0.5,0.05,0,4,WAIT_DIE,33277.3,0,207,0.0852959,187.096,0.0462951,0.000143656,0,0,0,0.0753138,0,0,88,0,83.8831,0.000328457,0,0,0,0,0,24517.6,0.985614,0.00140733,79.2426,0,0,0,0,2.14706,0,0.000287742,6.037e-05,0,0,0.062588,0,0,0,0,0,0,0,0,4.19632,134.478,0.00190689,0,0.0754163,0.0852959,0,0,0.000865036,0.0355046,0,0,0,18,3.9188,0,49,0,0,0,0,0,0,0,37,0,0.0148845,0,0,0,35167.1,0,29913.8,0,0,0,0,0,0,0.0442791,0.000182987,0,0,0,0,33,88,0,0,0,0,1.03207,0
false,ONE_PC,0.5,0.05,0,8,WAIT_DIE,37693.1,0,37,0.116457,197.835,0.0520412,0.00027158,0,0,0,0.0765211,0,0,157,0,146.378,0.000674245,0,0,0,0,0,30710,1.41319,0.00277133,58.5924,0,0,0,0,1.61008,0,0.000608069,0.000201311,0,0,0.109139,0,0,0,0,0,0,0,0,8.58055,153.777,0.00293589,0,0.100135,0.125043,0,0,0.00156262,0.0840693,0,0,0,27,7.83849,0,95,0,0,0,0,0,0,0,64,0,0.0300655,0,0,0,37672.5,0,31839.6,0,0,0,0,0,0,0.119582,0.000573124,0,0,0,0,66,157,0,0,0,0,1.05578,0
false,ONE_PC,0.5,0.05,0,16,WAIT_DIE,41257.8,0,119,0.197272,255.56,0.0567609,0.000487576,0,0,0,0.083607,0,0,289,0,272.563,0.0042997,0,0,0,0,0,30647,2.48919,0.00643249,48.3671,0,0,0,0,1.99868,0,0.00419818,0.000241432,0,0,0.162375,0,0,0,0,0,0,0,0,16.9649,157.296,0.00442621,0,0.127985,0.197581,0,0,0.00282916,0.136596,0,0,0,46,15.6799,0,164,0,0,0,0,0,0,0,122,0,0.0584731,0,0,0,42115.3,0,35949.2,0,0,0,0,0,0,0.208176,0.00058849,0,0,0,0,121,289,0,0,0,0,1.04255,0
false,ONE_PC,0.5,0.05,0,32,WAIT_DIE,40263.7,0,429,0.102872,295.84,0.0519932,0.000972596,0,0,0,0.0787808,0,0,630,0,584.173,0.00255666,0,0,0,0,0,25610.1,1.30428,0.0109489,44.905,0,0,0,0,2.244,0,0.00238847,0.000626124,0,0,0.224653,0,0,0,0,0,0,0,0,34.5103,146.906,0.0111221,0,0.08882,0.108456,0,0,0.00608176,0.324644,0,0,0,120,31.3565,0,351,0,0,0,0,0,0,0,279,0,0.118514,0,0,0,40988.4,0,37069.1,0,0,0,0,0,0,0.5121,0.00175752,0,0,0,0,231,630,0,0,0,0,1.05704,0
false,TWO_PC,0.5,0.05,0,2,WAIT_DIE,34137.1,0,0,0.121547,197.862,0.0751639,3.7484e-05,0,0,0,0.121202,0,0,29,0,26.2971,0.000219507,0,0,0,0,0,23823.5,28034.1,0.000581096,76.2583,0,0,0,0,3.11181,0,0.00014225,2.8633e-05,0,0,0.036573,0,0,0,0,0,0,0,0,2.20557,172.373,0.000821432,0,0.12152,0.121547,0,0,0.000270024,0.038682,0,0,0,4,1.95963,0,14,0,0,0,0,0,0,0,16,0,0.00608285,0,0,0,58511.5,0,30478.1,0,0,0,0,0,0,0.0374035,0.000103981,0,0,0,0,9,29,0,0,0,0,1.08413,0
false,TWO_PC,0.5,0.05,0,4,WAIT_DIE,35273.6,0,23,0.150442,156.207,0.0746981,7.4276e-05,0,0,0,0.116942,0,0,55,0,51.4983,0.000192473,0,0,0,0,0,20555.6,28914.1,0.0012001,33.7936,0,0,0,0,2.34362,0,0.00016836,3.962e-05,0,0,0.0643448,0,0,0,0,0,0,0,0,4.27199,93.4277,0.00279875,0,0.136428,0.150442,0,0,0.000531192,0.0448428,0,0,0,11,3.92661,0,27,0,0,0,0,0,0,0,28,0,0.00690834,0,0,0,57953.6,0,29040.2,0,0,0,0,0,0,0.0550959,0.000101802,0,0,0,0,16,55,0,0,0,0,1.05089,0
false,TWO_PC,0.5,0.05,0,8,WAIT_DIE,35601.1,0,10,0.143454,210.47,0.0805372,0.000161136,0,0,0,0.108757,0,0,103,0,95.0593,0.000493052,0,0,0,0,0,22987,33197.6,0.00209467,65.0018,0,0,0,0,1.72737,0,0.000461952,6.6715e-05,0,0,0.110114,0,0,0,0,0,0,0,0,8.66828,168.28,0.0024078,0,0.111322,0.143494,0,0,0.00102484,0.093421,0,0,0,14,7.84705,0,58,0,0,0,0,0,0,0,47,0,0.0218267,0,0,0,67671.5,0,34474.9,0,0,0,0,0,0,0.129289,0.000203339,0,0,0,0,42,103,0,0,0,0,1.06758,0
false,TWO_PC,0.5,0.05,0,16,WAIT_DIE,33064.3,0,23,0.142986,188.776,0.0738275,0.000359676,0,0,0,0.1177,0,0,226,0,205.396,0.00109727,0,0,0,0,0,29102.9,25501.6,0.00381641,32.5688,0,0,0,0,2.29742,0,0.00103524,0.000147043,0,0,0.171842,0,0,0,0,0,0,0,0,17.605,99.7305,0.00555481,0,0.126247,0.143065,0,0,0.00219822,0.20346,0,0,0,35,15.7083,0,118,0,0,0,0,0,0,0,99,0,0.0306806,0,0,0,54036,0,28535.2,0,0,0,0,0,0,0.301152,0.000419412,0,0,0,0,92,226,0,0,0,0,1.085,0
false,TWO_PC,0.5,0.05,0,32,WAIT_DIE,37613.6,0,72,0.152056,326.659,0.0829318,0.000612552,0,0,0,0.125205,0,0,401,0,364.992,0.00163229,0,0,0,0,0,31251.9,29349.7,0.00811398,75.7457,0,0,0,0,2.36933,0,0.00148301,0.000426565,0,0,0.240809,0,0,0,0,0,0,0,0,35.1569,251.008,0.00838062,0,0.129999,0.152116,0,0,0.00388841,0.392603,0,0,0,72,31.3514,0,221,0,0,0,0,0,0,0,180,0,0.125118,0,0,0,61374.6,0,32026.1,0,0,0,0,0,0,0.600022,0.00132233,0,0,0,0,149,401,0,0,0,0,1.07997,0
false,ONE_PC,0.5,0.05,0,2,WAIT_DIE,33887.7,0,22,0.083624,197.488,0.0472657,6.88e-05,0,0,0,0.0752834,0,0,44,0,41.4385,0.00015534,0,0,0,0,0,26266,1.01459,0.00107062,69.3972,0,0,0,0,1.64648,0,0.000142343,3.7373e-05,0,0,0.0348809,0,0,0,0,0,0,0,0,2.12363,178.012,0.00594429,0,0.0753641,0.083624,0,0,0.000432528,0.0257094,0,0,0,6,1.95673,0,24,0,0,0,0,0,0,0,20,0,0.00932345,0,0,0,35226,0,29722.4,0,0,0,0,0,0,0.0252954,9.1881e-05,0,0,0,0,18,44,0,0,0,0,1.04356,0
false,ONE_PC,0.5,0.05,0,4,WAIT_DIE,36535.3,0,70,0.100455,203.689,0.0483147,0.00014344,0,0,0,0.0753127,0,0,86,0,81.0809,0.000307209,0,0,0,0,0,23228,1.59257,0.0015314,83.773,0,0,0,0,2.1021,0,0.000266604,6.4718e-05,0,0,0.0639685,0,0,0,0,0,0,0,0,4.24267,159.779,0.00175401,0,0.0805245,0.100455,0,0,0.000847396,0.0414769,0,0,0,18,3.9168,0,49,0,0,0,0,0,0,0,36,0,0.016913,0,0,0,38919.2,0,33385.2,0,0,0,0,0,0,0.0512741,0.000190634,0,0,0,0,32,86,0,0,0,0,1.0434,0
false,ONE_PC,0.5,0.05,0,8,WAIT_DIE,39518.8,0,83,0.0978096,227.949,0.0518635,0.000270288,0,0,0,0.0833889,0,0,158,0,148.617,0.000582431,0,0,0,0,0,25443.5,1.31677,0.00329402,53.5977,0,0,0,0,1.72635,0,0.000538171,0.000127679,0,0,0.106934,0,0,0,0,0,0,0,0,8.50508,166.316,0.00306452,0,0.0836213,0.0979458,0,0,0.00156243,0.0755064,0,0,0,27,7.83648,0,93,0,0,0,0,0,0,0,64,0,0.0321565,0,0,0,42638.6,0,36904.7,0,0,0,0,0,0,0.107275,0.000447329,0,0,0,0,67,158,0,0,0,0,1.04629,0
