prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
33429,0,24,0.0753286,224.046,0.0448954,0,7.3424e-05,0,0,0,0.0752642,0,2,0,46,0,44.0001,0.000192416,0,0,0,0,0.05,0,23173.8,1.60109,0.000900536,133.202,WAIT_DIE,0,0,0,0,2.98477,0,0.000177164,3.5288e-05,0,0,0.0345234,0,0,false,0,0,0,0,0,0,2.0909,206.453,0.00111303,0,0.0753123,0.0753286,0,0,0.000454572,0.0211909,0,0,0,6,1.95453,0,25,0,0,0,0,0,0,0,21,0,0.0111769,0,0,0,36410.7,ONE_PC,0,30752.6,0,0,0,0,0,0,0.0203601,0.5,0.00014604,0,0,0,0,19,46,0,0,0,0,1.02732,0
35077.4,0,117,0.11689,173.93,0.0481035,0,0.000141452,0,0,0,0.0753511,0,4,0,84,0,79.819,0.000360562,0,0,0,0,0.05,0,24674.1,0.935762,0.00175905,61.3953,WAIT_DIE,0,0,0,0,1.90203,0,0.00033538,5.6562e-05,0,0,0.0637581,0,0,false,0,0,0,0,0,0,4.20952,104.52,0.0017201,0,0.0836667,0.11689,0,0,0.000839144,0.0372895,0,0,0,16,3.9222,0,51,0,0,0,0,0,0,0,36,0,0.0114929,0,0,0,36884.9,ONE_PC,0,31364.4,0,0,0,0,0,0,0.0464368,0.5,0.000160634,0,0,0,0,32,84,0,0,0,0,1.03492,0
35214.3,0,160,0.125586,214.591,0.0484443,0,0.000302984,0,0,0,0.075377,0,8,0,170,0,160.431,0.000535802,0,0,0,0,0.05,0,25564.3,1.1332,0.00287933,53.878,WAIT_DIE,0,0,0,0,1.80733,0,0.000484134,0.000117858,0,0,0.107473,0,0,false,0,0,0,0,0,0,8.47718,161.884,0.00294098,0,0.0809976,0.125603,0,0,0.00169248,0.0725,0,0,0,29,7.83345,0,102,0,0,0,0,0,0,0,67,0,0.0341882,0,0,0,38185.7,ONE_PC,0,32456.7,0,0,0,0,0,0,0.102249,0.5,0.000327836,0,0,0,0,74,170,0,0,0,0,1.0432,0
36319.6,0,129,0.0978431,281.631,0.0489839,0,0.00056692,0,0,0,0.0754977,0,16,0,337,0,316.043,0.00166641,0,0,0,0,0.05,0,25469.8,1.17323,0.00575308,44.7381,WAIT_DIE,0,0,0,0,2.12519,0,0.00154804,0.000242894,0,0,0.163758,0,0,false,0,0,0,0,0,0,17.061,143.315,0.0052499,0,0.0836875,0.100371,0,0,0.0032846,0.147919,0,0,0,56,15.6777,0,192,0,0,0,0,0,0,0,141,0,0.0606222,0,0,0,38260,ONE_PC,0,33735.7,0,0,0,0,0,0,0.224487,0.5,0.00071474,0,0,0,0,140,337,0,0,0,0,1.04915,0
39363,0,364,0.126937,345.632,0.0513531,0,0.000990936,0,0,0,0.0815464,0,32,0,643,0,593.805,0.00192338,0,0,0,0,0.05,0,26840.6,1.27807,0.0136093,68.6688,WAIT_DIE,0,0,0,0,2.24341,0,0.00173374,0.000638622,0,0,0.225344,0,0,false,0,0,0,0,0,0,34.6511,226.634,0.0108769,0,0.0895027,0.127434,0,0,0.00622295,0.339015,0,0,0,123,31.2941,0,356,0,0,0,0,0,0,0,286,0,0.175811,0,0,0,38779.2,ONE_PC,0,35154.7,0,0,0,0,0,0,0.53648,0.5,0.00165703,0,0,0,0,234,643,0,0,0,0,1.05863,0
30979.2,0,0,0.115355,277.622,0.0700728,0,3.6232e-05,0,0,0,0.115066,0,2,0,29,0,28.1468,9.6232e-05,0,0,0,0,0.05,0,21000.1,27839.5,0.000734872,155.873,WAIT_DIE,0,0,0,0,2.11169,0,9.008e-05,2.8958e-05,0,0,0.0341725,0,0,false,0,0,0,0,0,0,2.06062,264.219,0.000575768,0,0.115285,0.115355,0,0,0.000267768,0.0158766,0,0,0,4,1.95714,0,13,0,0,0,0,0,0,0,16,0,0.00898817,0,0,0,55538.3,TWO_PC,0,27699.7,0,0,0,0,0,0,0.015699,0.5,8.5152e-05,0,0,0,0,9,29,0,0,0,0,1.01269,0
35615.1,0,34,0.183212,166.419,0.078001,0,7.1564e-05,0,0,0,0.115899,0,4,0,53,0,49.2556,0.00017231,0,0,0,0,0.05,0,26289.7,27498.6,0.00105346,39.0613,WAIT_DIE,0,0,0,0,2.27684,0,0.000141846,4.8314e-05,0,0,0.0649283,0,0,false,0,0,0,0,0,0,4.30408,111.284,0.00467473,0,0.142744,0.183212,0,0,0.000511132,0.0490728,0,0,0,10,3.92556,0,25,0,0,0,0,0,0,0,27,0,0.00794152,0,0,0,57931.6,TWO_PC,0,30433.9,0,0,0,0,0,0,0.0596443,0.5,0.000148458,0,0,0,0,16,53,0,0,0,0,1.05885,0
33338.8,0,21,0.157741,150.813,0.0802387,0,0.00016666,0,0,0,0.124389,0,8,0,103,0,92.9828,0.000462828,0,0,0,0,0.05,0,33131.8,28492.4,0.00194261,27.7316,WAIT_DIE,0,0,0,0,1.92816,0,0.00043439,0.000132624,0,0,0.113093,0,0,false,0,0,0,0,0,0,8.86185,78.3625,0.00509949,0,0.125634,0.159001,0,0,0.00103341,0.114809,0,0,0,15,7.86003,0,60,0,0,0,0,0,0,0,46,0,0.0120228,0,0,0,56407.7,TWO_PC,0,27916.3,0,0,0,0,0,0,0.160021,0.5,0.000260634,0,0,0,0,42,103,0,0,0,0,1.0916,0
38084.7,0,36,0.183126,227.938,0.0796226,0,0.000320264,0,0,0,0.124691,0,16,0,206,0,192.63,0.00068614,0,0,0,0,0.05,0,32407.6,26142.4,0.00417175,52.7847,WAIT_DIE,0,0,0,0,2.27404,0,0.000624354,0.00026945,0,0,0.167632,0,0,false,0,0,0,0,0,0,17.1106,172.944,0.00289595,0,0.14972,0.199638,0,0,0.00200092,0.149375,0,0,0,31,15.6914,0,106,0,0,0,0,0,0,0,93,0,0.0464131,0,0,0,55842.8,TWO_PC,0,29702.5,0,0,0,0,0,0,0.224512,0.5,0.000990098,0,0,0,0,82,206,0,0,0,0,1.05388,0
37040.1,0,25,0.139984,256.859,0.0795926,0,0.000643504,0,0,0,0.116347,0,32,0,415,0,375.914,0.00178209,0,0,0,0,0.05,0,26635.3,28759.3,0.00642605,43.1691,WAIT_DIE,0,0,0,0,2.25931,0,0.00166751,0.00036682,0,0,0.237269,0,0,false,0,0,0,0,0,0,35.3272,139.849,0.0086654,0,0.116471,0.140161,0,0,0.00403519,0.410915,0,0,0,76,31.3904,0,232,0,0,0,0,0,0,0,185,0,0.0772476,0,0,0,62456.4,TWO_PC,0,33698,0,0,0,0,0,0,0.628671,0.5,0.00129956,0,0,0,0,154,415,0,0,0,0,1.08766,0
28816.4,0,128,0.0753076,208.371,0.0392391,0,8.1208e-05,0,0,0,0.0576774,0,2,0,52,0,48.6199,0.00015006,0,0,0,0,0.05,0,20167.4,1.90927,0.0010872,74.6462,WAIT_DIE,0,0,0,0,2.95393,0,0.00013259,4.529e-05,0,0,0.0351147,0,0,false,0,0,0,0,0,0,2.13904,114.73,0.0014454,0,0.0586375,0.0753076,0,0,0.000518688,0.0284482,0,0,0,7,1.9582,0,29,0,0,0,0,0,0,0,24,0,0.00775829,0,0,0,36437.9,ONE_PC,0,27846.9,0,0,0,0,0,0,0.0280195,0.5,0.000147658,0,0,0,0,21,52,0,0,0,0,1.05084,0
36088.3,0,173,0.100618,181.774,0.0480445,0,0.000143624,0,0,0,0.0754038,0,4,0,85,0,81.0221,0.00031562,0,0,0,0,0.05,0,22603.2,0.900565,0.00151783,75.4488,WAIT_DIE,0,0,0,0,2.08043,0,0.000277546,6.0672e-05,0,0,0.0626835,0,0,false,0,0,0,0,0,0,4.19639,138.424,0.00163497,0,0.0836869,0.100618,0,0,0.00083828,0.0357561,0,0,0,18,3.91917,0,51,0,0,0,0,0,0,0,36,0,0.0145593,0,0,0,37684,ONE_PC,0,32167.8,0,0,0,0,0,0,0.0436592,0.5,0.0001531,0,0,0,0,31,85,0,0,0,0,1.03184,0
38873.7,0,66,0.12538,170.935,0.0523041,0,0.00027254,0,0,0,0.0836122,0,8,0,159,0,148.244,0.000713796,0,0,0,0,0.05,0,27134.9,0.959585,0.00247401,44.3795,WAIT_DIE,0,0,0,0,1.60641,0,0.000670504,0.000107172,0,0,0.108773,0,0,false,0,0,0,0,0,0,8.58044,112.669,0.00278395,0,0.0923648,0.125412,0,0,0.00156985,0.0846429,0,0,0,27,7.84466,0,93,0,0,0,0,0,0,0,64,0,0.0235487,0,0,0,41593.4,ONE_PC,0,36059.1,0,0,0,0,0,0,0.118203,0.5,0.000290502,0,0,0,0,68,159,0,0,0,0,1.05639,0
42865.3,0,105,0.183955,235.279,0.0575709,0,0.00048658,0,0,0,0.0836833,0,16,0,285,0,268.789,0.0012556,0,0,0,0,0.05,0,30574.1,1.18357,0.00430083,32.8862,WAIT_DIE,0,0,0,0,2.21993,0,0.00116426,0.000224196,0,0,0.163552,0,0,false,0,0,0,0,0,0,16.965,98.5338,0.00465671,0,0.122133,0.209062,0,0,0.00280746,0.135153,0,0,0,45,15.6995,0,167,0,0,0,0,0,0,0,121,0,0.0387776,0,0,0,41694,ONE_PC,0,36869.6,0,0,0,0,0,0,0.210125,0.5,0.000681508,0,0,0,0,119,285,0,0,0,0,1.04491,0
39123.4,0,275,0.100382,405.447,0.0520518,0,0.000977696,0,0,0,0.0872545,0,32,0,628,0,582.327,0.00194823,0,0,0,0,0.05,0,28374.2,1.56032,0.0126271,77.7312,WAIT_DIE,0,0,0,0,2.33686,0,0.00176173,0.000692574,0,0,0.22355,0,0,false,0,0,0,0,0,0,34.5098,248.106,0.013378,0,0.0957502,0.108656,0,0,0.00607453,0.329089,0,0,0,121,31.2759,0,351,0,0,0,0,0,0,0,277,0,0.190262,0,0,0,36837.8,ONE_PC,0,32992.8,0,0,0,0,0,0,0.511912,0.5,0.00248533,0,0,0,0,230,628,0,0,0,0,1.05517,0
31917.2,0,10,0.112967,229.057,0.0705176,0,3.746e-05,0,0,0,0.112902,0,2,0,30,0,27.2007,0.000112864,0,0,0,0,0.05,0,22371.3,26610.9,0.000548522,92.6967,WAIT_DIE,0,0,0,0,2.15906,0,0.000102352,2.0986e-05,0,0,0.0363185,0,0,false,0,0,0,0,0,0,2.20582,188.58,0.000743266,0,0.112928,0.112967,0,0,0.000280288,0.0387692,0,0,0,4,1.95927,0,13,0,0,0,0,0,0,0,16,0,0.00680881,0,0,0,55855.3,TWO_PC,0,29245.1,0,0,0,0,0,0,0.037801,0.5,5.2056e-05,0,0,0,0,10,30,0,0,0,0,1.08433,0
33805,0,20,0.148287,339.033,0.0756161,0,7.6292e-05,0,0,0,0.12187,0,4,0,55,0,51.4879,0.000231478,0,0,0,0,0.05,0,21037.8,30456.1,0.00110705,258.848,WAIT_DIE,0,0,0,0,2.209,0,0.000210402,0.000150882,0,0,0.0646445,0,0,false,0,0,0,0,0,0,4.27285,330.383,0.00144262,0,0.122908,0.148287,0,0,0.000532248,0.0449881,0,0,0,11,3.91196,0,27,0,0,0,0,0,0,0,28,0,0.0211864,0,0,0,60234.5,TWO_PC,0,29780.3,0,0,0,0,0,0,0.05503,0.5,0.000236016,0,0,0,0,16,55,0,0,0,0,1.05102,0
33791.6,0,24,0.1562,166.374,0.0790804,0,0.00016524,0,0,0,0.124068,0,8,0,105,0,96.9051,0.000275088,0,0,0,0,0.05,0,34481.5,25728.3,0.00183622,38.6408,WAIT_DIE,0,0,0,0,1.88524,0,0.000248978,8.8908e-05,0,0,0.110486,0,0,false,0,0,0,0,0,0,8.66827,107.141,0.00189897,0,0.131374,0.15625,0,0,0.00103626,0.0932478,0,0,0,16,7.85295,0,56,0,0,0,0,0,0,0,47,0,0.0158755,0,0,0,53188.8,TWO_PC,0,27461.9,0,0,0,0,0,0,0.13023,0.5,0.000248334,0,0,0,0,42,105,0,0,0,0,1.06773,0
35858.5,0,0,0.150062,225.076,0.0789202,0,0.000353456,0,0,0,0.108363,0,16,0,214,0,194.479,0.0012314,0,0,0,0,0.05,0,25238.4,30507.9,0.00433002,52.0853,WAIT_DIE,0,0,0,0,2.24076,0,0.0011688,0.000160526,0,0,0.173201,0,0,false,0,0,0,0,0,0,17.606,176.017,0.00396808,0,0.116569,0.150107,0,0,0.00212178,0.20249,0,0,0,32,15.6914,0,127,0,0,0,0,0,0,0,96,0,0.0474241,0,0,0,62778.2,TWO_PC,0,32271.1,0,0,0,0,0,0,0.300399,0.5,0.000432164,0,0,0,0,86,214,0,0,0,0,1.08465,0
38570.7,0,0,0.15955,455.635,0.0837746,0,0.000614088,0,0,0,0.120604,0,32,0,395,0,358.712,0.00176682,0,0,0,0,0.05,0,27239.5,31669.5,0.00698496,63.2451,WAIT_DIE,0,0,0,0,2.4317,0,0.00165928,0.000408102,0,0,0.237898,0,0,false,0,0,0,0,0,0,35.2372,223.187,0.00855481,0,0.125469,0.159851,0,0,0.00383878,0.408767,0,0,0,72,31.3574,0,221,0,0,0,0,0,0,0,174,0,0.109839,0,0,0,67322.7,TWO_PC,0,35654.4,0,0,0,0,0,0,0.617431,0.5,0.00117088,0,0,0,0,149,395,0,0,0,0,1.08443,0
34606.5,0,10,0.0842843,178.471,0.0471195,0,6.88e-05,0,0,0,0.0752674,0,2,0,44,0,41.4379,0.000145152,0,0,0,0,0.05,0,24386.7,1.59827,0.000853298,87.9584,WAIT_DIE,0,0,0,0,3.28323,0,0.00013054,3.105e-05,0,0,0.0347757,0,0,false,0,0,0,0,0,0,2.12366,135.144,0.00106633,0,0.0752769,0.0842843,0,0,0.000432528,0.0257902,0,0,0,6,1.95847,0,24,0,0,0,0,0,0,0,20,0,0.00753622,0,0,0,35905.7,ONE_PC,0,31536.2,0,0,0,0,0,0,0.0252666,0.5,8.7142e-05,0,0,0,0,18,44,0,0,0,0,1.04374,0
36057.8,0,115,0.114226,241.228,0.0487246,0,0.000141348,0,0,0,0.0793765,0,4,0,85,0,80.1389,0.000307272,0,0,0,0,0.05,0,24686.2,1.46482,0.00157984,129.941,WAIT_DIE,0,0,0,0,1.7998,0,0.00027888,8.1346e-05,0,0,0.0640258,0,0,false,0,0,0,0,0,0,4.24264,219.784,0.00181342,0,0.083463,0.114226,0,0,0.000844244,0.0417295,0,0,0,17,3.9112,0,50,0,0,0,0,0,0,0,36,0,0.0225502,0,0,0,35813.5,ONE_PC,0,30693.7,0,0,0,0,0,0,0.0512748,0.5,0.000252696,0,0,0,0,32,85,0,0,0,0,1.04334,0
36255.2,0,88,0.12742,248.121,0.0522384,0,0.000270312,0,0,0,0.0806203,0,8,0,157,0,147.676,0.00054396,0,0,0,0,0.05,0,31430.1,1.63064,0.00291774,116.451,WAIT_DIE,0,0,0,0,1.54349,0,0.000482324,0.00020819,0,0,0.107486,0,0,false,0,0,0,0,0,0,8.50513,213.44,0.00328309,0,0.0835576,0.127898,0,0,0.00155831,0.0755608,0,0,0,27,7.82731,0,94,0,0,0,0,0,0,0,64,0,0.0412396,0,0,0,36469.2,ONE_PC,0,30602.6,0,0,0,0,0,0,0.107394,0.5,0.000716738,0,0,0,0,66,157,0,0,0,0,1.04616,0
